10:00:25 [INFO] [AGENDAMENTO] Iniciando task tarefa_1783051511.075051 para danielegleyce21.03@gmail.com com ação solicitar
10:00:26 [INFO] Modo COMUM + RECLAMAÇÕES ativado: serão buscados os dois tipos e ordenados por date_created.
10:00:26 [INFO] Buscando offset 0...
10:00:28 [INFO] Buscando offset 50...
10:00:29 [INFO] Buscando offset 100...
10:00:31 [INFO] Buscando offset 150...
10:00:32 [INFO] Buscando offset 200...
10:00:33 [INFO] Buscando offset 250...
10:00:35 [INFO] Buscando offset 300...
10:00:36 [INFO] Buscando offset 350...
10:00:37 [INFO] Buscando offset 400...
10:00:39 [INFO] Buscando offset 450...
10:00:40 [INFO] Buscando offset 500...
10:00:41 [INFO] Buscando offset 550...
10:00:43 [INFO] Buscando offset 600...
10:00:43 [INFO] Busca finalizada. Total capturado: 613
10:00:43 [INFO] Buscando offset 0...
10:00:45 [INFO] Buscando offset 50...
10:00:46 [INFO] Busca finalizada. Total capturado: 63
10:01:09 [INFO] Busca mista finalizada. Comuns: 613; reclamações: 63; total: 617
10:01:09 [INFO] Iniciando ação: SOLICITAR...
10:01:09 [INFO] Executando ação 'solicitar' em modo agendamento, aguardando conclusão...
10:01:12 [INFO] Mensagem já Enviada no chat da Ordem 2000017130857258...
10:01:12 [INFO] Mensagem já Enviada no chat da Ordem 2000017132337180...
10:01:13 [INFO] Mensagem já Enviada no chat da Ordem 2000017140192382...
10:01:14 [INFO] Mensagem já Enviada no chat da Ordem 2000017141149126...
10:01:15 [INFO] Mensagem já Enviada no chat da Ordem 2000017149118286...
10:01:16 [INFO] Mensagem já Enviada no chat da Ordem 2000017149530372...
10:01:17 [INFO] Mensagem já Enviada no chat da Ordem 2000017158808154...
10:01:18 [INFO] Mensagem já Enviada no chat da Ordem 2000017159233512...
10:01:19 [INFO] Mensagem já Enviada no chat da Ordem 2000017164381580...
10:01:19 [INFO] Mensagem já Enviada no chat da Ordem 2000017168820102...
10:01:20 [INFO] Mensagem já Enviada no chat da Ordem 2000017170284512...
10:01:20 [INFO] Mensagem já Enviada no chat da Ordem 2000017173574054...
10:01:22 [INFO] Mensagem já Enviada no chat da Ordem 2000017174479782...
10:01:22 [INFO] Mensagem já Enviada no chat da Ordem 2000017176333516...
10:01:23 [INFO] Mensagem já Enviada no chat da Ordem 2000017180349152...
10:01:24 [INFO] Mensagem já Enviada no chat da Ordem 2000017182396550...
10:01:30 [INFO] Mensagem já Enviada no chat da Ordem 2000017182632586...
10:01:30 [INFO] Mensagem já Enviada no chat da Ordem 2000017182862522...
10:01:31 [INFO] Mensagem já Enviada no chat da Ordem 2000017185295660...
10:01:31 [INFO] Mensagem já Enviada no chat da Ordem 2000017187549102...
10:01:32 [INFO] Mensagem já Enviada no chat da Ordem 2000017193076390...
10:01:33 [INFO] Mensagem já Enviada no chat da Ordem 2000017197865178...
10:01:34 [INFO] Mensagem já Enviada no chat da Ordem 2000017198233546...
10:01:35 [INFO] Mensagem já Enviada no chat da Ordem 2000017200184910...
10:01:35 [INFO] Mensagem já Enviada no chat da Ordem 2000017200528822...
10:01:36 [INFO] Mensagem já Enviada no chat da Ordem 2000017201657860...
10:01:37 [INFO] Mensagem já Enviada no chat da Ordem 2000017204114154...
10:01:38 [INFO] Mensagem já Enviada no chat da Ordem 2000017204428736...
10:01:38 [INFO] Mensagem já Enviada no chat da Ordem 2000017205028846...
10:01:40 [INFO] Mensagem já Enviada no chat da Ordem 2000017206013560...
10:01:40 [INFO] Mensagem já Enviada no chat da Ordem 2000017206122168...
10:01:42 [INFO] Mensagem já Enviada no chat da Ordem 2000017206412604...
10:01:43 [INFO] Mensagem já Enviada no chat da Ordem 2000017206481932...
10:01:44 [INFO] Mensagem já Enviada no chat da Ordem 2000017206537710...
10:01:44 [INFO] Mensagem já Enviada no chat da Ordem 2000017210348190...
10:01:46 [INFO] Mensagem já Enviada no chat da Ordem 2000017210550074...
10:01:46 [INFO] Mensagem já Enviada no chat da Ordem 2000017211159126...
10:01:48 [INFO] Mensagem já Enviada no chat da Ordem 2000017211166840...
10:01:49 [INFO] Mensagem já Enviada no chat da Ordem 2000017211253630...
10:01:49 [INFO] Mensagem já Enviada no chat da Ordem 2000017211952404...
10:01:50 [INFO] Mensagem já Enviada no chat da Ordem 2000017212145284...
10:01:51 [INFO] Mensagem já Enviada no chat da Ordem 2000017212380970...
10:01:52 [INFO] Mensagem já Enviada no chat da Ordem 2000017212833290...
10:01:53 [INFO] Mensagem já Enviada no chat da Ordem 2000017213531840...
10:01:53 [INFO] Mensagem já Enviada no chat da Ordem 2000017213692108...
10:01:55 [INFO] Mensagem já Enviada no chat da Ordem 2000017213822202...
10:01:56 [INFO] Mensagem já Enviada no chat da Ordem 2000017213926024...
10:01:56 [INFO] Mensagem já Enviada no chat da Ordem 2000017214070548...
10:01:57 [INFO] Mensagem já Enviada no chat da Ordem 2000017214555620...
10:01:58 [INFO] Mensagem já Enviada no chat da Ordem 2000017214662864...
10:01:58 [INFO] Mensagem já Enviada no chat da Ordem 2000017215516718...
10:01:59 [INFO] Mensagem já Enviada no chat da Ordem 2000017215680240...
10:01:59 [INFO] Mensagem já Enviada no chat da Ordem 2000017215841230...
10:02:00 [INFO] Mensagem já Enviada no chat da Ordem 2000017216001174...
10:02:00 [INFO] Mensagem já Enviada no chat da Ordem 2000017216005200...
10:02:01 [INFO] Mensagem já Enviada no chat da Ordem 2000017216102164...
10:02:01 [INFO] Mensagem já Enviada no chat da Ordem 2000017216376192...
10:02:02 [INFO] Mensagem já Enviada no chat da Ordem 2000017216630542...
