00:04:42 [INFO] Script IA carregado: G:\Meu Drive\Sistema Captura WPP\scriptIAquestion.txt
00:04:42 [INFO] Iniciando busca de perguntas no Mercado Livre...
00:04:42 [INFO] Baixadas 50 de 92 perguntas totais...
00:04:43 [INFO] Baixadas 92 de 42 perguntas totais...
00:04:43 [INFO] Encontrada(s) 7 pergunta(s) sem resposta.
00:04:43 [INFO] Enviando pergunta para a IA
00:04:45 [INFO] Pergunta ID 13614638837 respondida com sucesso!
00:04:46 [INFO] Enviando pergunta para a IA
00:04:47 [INFO] Pergunta ID 13615398932 respondida com sucesso!
00:04:48 [INFO] Enviando pergunta para a IA
00:04:49 [INFO] Pergunta ID 13615400944 respondida com sucesso!
00:04:50 [INFO] Enviando pergunta para a IA
00:04:51 [INFO] Pergunta ID 13615404674 respondida com sucesso!
00:04:52 [INFO] Enviando pergunta para a IA
00:04:53 [INFO] Pergunta ID 13615417788 respondida com sucesso!
00:04:54 [INFO] Enviando pergunta para a IA
00:04:55 [INFO] Pergunta ID 13614690903 respondida com sucesso!
00:04:56 [INFO] Enviando pergunta para a IA
00:04:57 [INFO] Pergunta ID 13615440106 respondida com sucesso!
00:04:58 [INFO] Processo de responder dúvidas concluído.
10:00:22 [INFO] [AGENDAMENTO] Iniciando task tarefa_1783050947.944213 para gomessandriely003@gmail.com com ação solicitar
10:00:23 [INFO] Modo COMUM + RECLAMAÇÕES ativado: serão buscados os dois tipos e ordenados por date_created.
10:00:23 [INFO] Buscando offset 0...
10:00:24 [INFO] Buscando offset 50...
10:00:26 [INFO] Buscando offset 100...
10:00:27 [INFO] Buscando offset 150...
10:00:28 [INFO] Buscando offset 200...
10:00:30 [INFO] Buscando offset 250...
10:00:31 [INFO] Buscando offset 300...
10:00:33 [INFO] Buscando offset 350...
10:00:34 [INFO] Buscando offset 400...
10:00:35 [INFO] Buscando offset 450...
10:00:36 [INFO] Busca finalizada. Total capturado: 477
10:00:36 [INFO] Buscando offset 0...
10:00:37 [INFO] Buscando offset 50...
10:00:39 [INFO] Busca finalizada. Total capturado: 83
10:01:08 [INFO] Busca mista finalizada. Comuns: 477; reclamações: 83; total: 560
10:01:08 [INFO] Iniciando ação: SOLICITAR...
10:01:08 [INFO] Executando ação 'solicitar' em modo agendamento, aguardando conclusão...
10:01:09 [INFO] Mensagem já Enviada no chat da Ordem 2000017106263184...
10:01:09 [INFO] Mensagem já Enviada no chat da Ordem 2000017128659628...
10:01:10 [INFO] Mensagem já Enviada no chat da Ordem 2000017131394154...
10:01:11 [INFO] Mensagem já Enviada no chat da Ordem 2000017142701628...
10:01:11 [INFO] Mensagem já Enviada no chat da Ordem 2000017147854686...
10:01:12 [INFO] Mensagem já Enviada no chat da Ordem 2000017156152974...
10:01:12 [INFO] Mensagem já Enviada no chat da Ordem 2000017159711002...
10:01:14 [INFO] Mensagem já Enviada no chat da Ordem 2000017160230220...
10:01:14 [INFO] Mensagem já Enviada no chat da Ordem 2000017165894428...
10:01:16 [INFO] Mensagem já Enviada no chat da Ordem 2000017166958530...
10:01:16 [INFO] Mensagem já Enviada no chat da Ordem 2000017166923802...
10:01:17 [INFO] Mensagem já Enviada no chat da Ordem 2000017167206234...
10:01:17 [INFO] Mensagem já Enviada no chat da Ordem 2000017167721846...
10:01:18 [INFO] Mensagem já Enviada no chat da Ordem 2000017168257336...
10:01:19 [INFO] Mensagem já Enviada no chat da Ordem 2000017168392752...
10:01:19 [INFO] Mensagem já Enviada no chat da Ordem 2000017169242528...
10:01:21 [INFO] Mensagem já Enviada no chat da Ordem 2000017169545390...
10:01:21 [INFO] Modo reclamação ativado: pulando solicitação de telefone para a ordem 2000017169545390.
10:01:22 [INFO] Ordem 2000017169545390: Status da API = 201
10:01:22 [INFO] Ordem 2000017169545390: Antes de salvar - QtdenvioEncerrarReclamacao=1, data=04/07/2026 10:01
10:01:22 [INFO] Ordem 2000017169545390: Save result = None
10:01:22 [INFO] Ordem 2000017169545390: Mensagem de encerramento enviada (1/2).
10:01:22 [INFO] Processamento da ordem 2000017169545390 concluído. Próxima ordem...
10:01:23 [INFO] Mensagem já Enviada no chat da Ordem 2000017170352464...
10:01:24 [INFO] Mensagem já Enviada no chat da Ordem 2000017171071580...
10:01:24 [INFO] Mensagem já Enviada no chat da Ordem 2000017174160772...
10:01:26 [INFO] Mensagem já Enviada no chat da Ordem 2000017174195822...
10:01:26 [INFO] Mensagem já Enviada no chat da Ordem 2000017174695154...
10:01:27 [INFO] Mensagem já Enviada no chat da Ordem 2000017175070462...
10:01:27 [INFO] Mensagem já Enviada no chat da Ordem 2000017175449174...
